Title,Format,Developer,Publisher,Issue,Score
Fight Night Champion,"360, PS3",EA Canada,EA,226,9
Portal 2,"360, PC, PS3",Valve,Valve,228,9
Dirt 3,"360, PC, PS3",Codemasters,Codemasters,229,9
Frozen Synapse,PC,Mode 7,Mode 7,230,9
From Dust,"360, PC, PS3",Ubisoft Montpellier,Ubisoft,231,9
Bastion,360,Supergiant Games,Warner Bros.,231,9
Deus Ex: Human Revolution,"360, PC, PS3",Eidos Montreal,Square Enix,232,9
Xenoblade Chronicles,Wii,Monolith Soft,Nintendo,232,9
Gears of War 3,360,Epic,Microsoft Studios,233,9
Dark Souls,"360, PS3",From Software,Namco Bandai,234,9
Batman: Arkham City,"360, PC, PS3",Rocksteady,Warner Bros.,234,9
Uncharted 3: Drake’s Deception,PS3,Naughty Dog,SCE,234,9
The Legend of Zelda: Skyward Sword,Wii,Nintendo,Nintendo,234,10
Call of Duty: Modern Warfare 3,"360, PC, PS3",Infinity Ward,Activision,235,9
The Elder Scrolls V: Skyrim,"360, PC PS3",Bethesda,Bethesda,235,9
Halo: Combat Evolved Anniversary,360,343,Microsoft Studios,236,9
Minecraft,PC,Mojang,Mojang,236,9
Mario Kart 7,3DS,Nintendo/Retro Studios,Nintendo,236,9
Trials Evolution,360,RedLynx,Microsoft Studios,240,9
Ridge Racer Unbounded,"360, PS3",Bugbear Entertainment,Namco Bandai,240,9
Street Fighter X Tekken,"360, PS3",Capcom,Capcom,240,9
Fez,360,Polytron,Trapdoor,241,9
Tribes: Ascend,PC,Hi-Rez Studios,Hi-Rez Studios,241,9
Diablo III,"360, PC, PS3",Blizzard Entertainment,Blizzard Entertainment,242,9
Velocity,"PSP, PS3, Vita",FuturLab,FuturLab,242,9
Virtua Fighter 5: Final Showdown,"360, PS3",Sega AM2,Sega,243,9
Gauge – Game,iOS,The Game Atelier,The Game Atelier,243,9
Spelunky,360,Derek Yu,"Mossmouth, LLC",244,9
Borderlands 2,"360, PC, PS3, Mac",Gearbox Software,2K Games,246,9
Super Hexagon,iOS,Terry Cavanagh,Terry Cavanagh,246,9
Dishonored,"360, PC, PS3",Arkane Studios,Bethesda Softworks,247,9
Need for Speed: Most Wanted,"360, PC, PS3, Vita, Wii U",Criterion,EA,247,9
XCOM: Enemy Unknown,"360, PC, PS3",Firaxis,2K Games,247,9
Hotline Miami,PC,Dennaton Games,Devolver Digital,248,9
Persona 4 Golden,Vita,Atlus,Atlus,251,9
Year Walk,iOS,Simogo,Simogo,252,9
Bioshock Infinite,"360, PC, PS3",Irrational Games,2K Games,253,9
